Key,Name,Created,Updated,D42 ID,Type,Subtype,Is Virtual Host,Is Network Device,Is Blade Chassis,Serial No,Asset No,UUID,Notes,In Service,Service Level,Object Category,Tags,Hardware,Room,Rack,Start At,IP Addresses,MAC Addresses,OS,OS Version,Total CPUs,Cores Per CPU,Threads Per Core,CPU Speed,RAM,Local Used Space,Local Free Space,Local Total Space,BIOS,Location,Last Discovered,Customer,Host Device,Building,Business Applications,Cluster,Last Boot Time
CMDB-17044,lu3cintegra17152.3cint.com,30/May/23 12:18 PM,11/Jan/24 3:10 AM,5130,virtual,VMWare,false,false,false,,,420E92E2-B4BD-9A55-AB29-FF0FE363589B,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A05,,172.17.17.152,00:50:56:8e:8a:e6,SUSE openSUSE (32-bit),,1,1,1,,1.0,,,,,Contern | Room 1 | Rack-A05 | lu3cd1ppesx01.3cint.com,10/Jan/24 7:14 AM,,lu3cd1ppesx01.3cint.com,Contern,Integra [3C],,
CMDB-17450,lu3cintegra18011Hilton1.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5506,virtual,VMWare,false,false,false,,,420E46B2-D925-A523-072C-861DA9889506,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A03,,172.17.18.11,00:50:56:8e:21:1a,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.1,4.0,3.89,24.15,28.04,,Contern | Room 1 | Rack-A03 | lu3cd1ppesx05.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx05.3cint.com,Contern,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-17185,lu3cintegra18012Hilton2.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5263,virtual,VMWare,false,false,false,,,420ED09D-A9B6-C876-4081-74EA15C283D0,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A05,,172.17.18.12,00:50:56:8e:be:8c,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.1,4.0,4.18,23.86,28.04,,Contern | Room 1 | Rack-A05 | lu3cd1ppesx03.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx03.3cint.com,Contern,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-17481,lu3cintegra18013Hilton3.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5536,virtual,VMWare,false,false,false,,,420E7701-410D-BDBB-6D16-C72AEDB7AC30,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A05,,172.17.18.13,00:50:56:8e:06:42,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.1,4.0,4.22,23.82,28.04,,Contern | Room 1 | Rack-A05 | lu3cd1ppesx08.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx08.3cint.com,Contern,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-17443,lu3cintegra180195.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5499,virtual,VMWare,false,false,false,,,420E4823-0086-2AEA-B494-0FE2733E0A41,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A03,,172.17.18.195,00:50:56:8e:53:bf,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.1,4.0,6.59,21.45,28.04,,Contern | Room 1 | Rack-A03 | lu3cd1ppesx05.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx05.3cint.com,Contern,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-17278,lu3cintegra180196.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5348,virtual,VMWare,false,false,false,,,420EC44F-24F4-866D-FA3C-12CF0FB7810F,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A05,,172.17.18.196,00:50:56:8e:ac:a7,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.79,4.0,6.62,21.42,28.04,,Contern | Room 1 | Rack-A05 | lu3cd1ppesx09.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx09.3cint.com,Contern,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-17432,lu3cintegra180197.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5489,virtual,VMWare,false,false,false,,,420E139B-6A80-2C4A-C16F-53FFEADE2EB4,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A03,,172.17.18.197,00:50:56:8e:2a:66,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.79,4.0,3.45,24.59,28.04,,Contern | Room 1 | Rack-A03 | lu3cd1ppesx05.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx05.3cint.com,Contern,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-17290,lu3cintegra180198.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5359,virtual,VMWare,false,false,false,,,420E33A7-EC3D-ECF6-12EF-785E8C9F6A3F,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A03,,172.17.18.198,00:50:56:8e:17:3d,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.79,4.0,3.15,24.89,28.04,,Contern | Room 1 | Rack-A03 | lu3cd1ppesx06.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx06.3cint.com,Contern,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-17524,lu3cintegra180199.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5579,virtual,VMWare,false,false,false,,,420E8539-1CFD-84CA-8654-72AC228AA611,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A05,,172.17.18.199,00:50:56:8e:70:77,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.79,4.0,3.28,24.76,28.04,,Contern | Room 1 | Rack-A05 | lu3cd1ppesx10.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx10.3cint.com,Contern,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-17492,lu3cintegra180200.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5547,virtual,VMWare,false,false,false,,,420E741B-0849-2E9B-FFF4-E0287140024A,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A05,,172.17.18.200,00:50:56:8e:69:29,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.79,4.0,3.22,24.82,28.04,,Contern | Room 1 | Rack-A05 | lu3cd1ppesx04.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx04.3cint.com,Contern,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-29086,lu3cintegra18028cale.,17/Nov/23 3:06 AM,11/Jan/24 3:08 AM,12241,virtual,VMWare,false,false,false,,,420ED0AB-3753-C74D-61B4-9DA15D402689,,true,Production,,"Contern,Luxembourg",,Room 1,Rack-A05,,172.17.18.28,00:50:56:8e:fe:32,Ubuntu Linux (64-bit),,4,1,1,,4.0,,,,,Contern | Room 1 | Rack-A05 | lu3cd1ppesx07.3cint.com,10/Jan/24 7:11 AM,,lu3cd1ppesx07.3cint.com,Contern,,,
CMDB-29083,lu3cintegra18029cale.,17/Nov/23 3:06 AM,11/Jan/24 3:08 AM,12237,virtual,VMWare,false,false,false,,,420E4255-2739-5144-B2EC-8D8A95F4F133,,true,Production,,"Contern,Luxembourg",,Room 1,Rack-A05,,172.17.18.29,00:50:56:8e:04:11,Ubuntu Linux (64-bit),,4,1,1,,4.0,,,,,Contern | Room 1 | Rack-A05 | lu3cd1ppesx07.3cint.com,10/Jan/24 7:11 AM,,lu3cd1ppesx07.3cint.com,Contern,,,
CMDB-17187,lu3cintegra18036Hectronic.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5265,virtual,VMWare,false,false,false,,,420E3DEE-F107-0210-19FF-619280C69093,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A05,,172.17.18.36,00:50:56:8e:65:10,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.79,4.0,3.32,24.72,28.04,,Contern | Room 1 | Rack-A05 | lu3cd1ppesx03.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx03.3cint.com,Contern,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-28412,lu3cintegra18037-SCANDIC.3cint.com,25/Oct/23 3:07 AM,12/Jan/24 3:08 AM,12131,virtual,Internal VM,false,false,false,,,,,true,Production,,"Contern,3C,Integra",,,,,172.17.18.37,00:50:56:8e:91:28,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.79,4.0,11.71,16.33,28.04,,,11/Jan/24 10:02 PM,,,,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-17506,lu3cintegra18037Kering.3cint.com,30/May/23 12:18 PM,11/Jan/24 3:11 AM,5561,virtual,VMWare,false,false,false,,,420EAB1D-C906-D8F9-E3E5-143160F3D1C9,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A03,,172.17.18.37,00:50:56:8e:91:28,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.79,4.0,4.36,23.68,28.04,,Contern | Room 1 | Rack-A03 | lu3cd1ppesx06.3cint.com,10/Jan/24 7:14 AM,,lu3cd1ppesx06.3cint.com,Contern,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-28411,lu3cintegra18038-SCANDIC.3cint.com,25/Oct/23 3:07 AM,12/Jan/24 3:08 AM,12130,virtual,Internal VM,false,false,false,,,,,true,Production,,"Contern,3C,Integra",,,,,172.17.18.38,00:50:56:8e:d8:36,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.79,4.0,8.24,19.8,28.04,,,11/Jan/24 10:02 PM,,,,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-17184,lu3cintegra18038Kering.3cint.com,30/May/23 12:18 PM,11/Jan/24 3:10 AM,5262,virtual,VMWare,false,false,false,,,420EB483-ED1E-E119-5CA2-E02DB07047F2,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A05,,172.17.18.38,00:50:56:8e:d8:36,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.79,4.0,4.71,23.33,28.04,,Contern | Room 1 | Rack-A05 | lu3cd1ppesx09.3cint.com,10/Jan/24 7:15 AM,,lu3cd1ppesx09.3cint.com,Contern,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-28413,lu3cintegra18039-Whitbread.3cint.com,25/Oct/23 3:07 AM,12/Jan/24 3:08 AM,12132,virtual,Internal VM,false,false,false,,,,,true,Production,,"Contern,3C,Integra",,,,,172.17.18.39,00:50:56:8e:8a:0f,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.79,4.0,4.81,23.23,28.04,,,11/Jan/24 10:02 PM,,,,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-17203,lu3cintegra18039Kering.3cint.com,30/May/23 12:18 PM,11/Jan/24 3:10 AM,5280,virtual,VMWare,false,false,false,,,420E72C1-37EB-356C-E146-7C49F2E949A5,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A05,,172.17.18.39,00:50:56:8e:8a:0f,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.79,4.0,4.88,23.16,28.04,,Contern | Room 1 | Rack-A05 | lu3cd1ppesx01.3cint.com,10/Jan/24 7:14 AM,,lu3cd1ppesx01.3cint.com,Contern,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-17448,lu3cintegra18040CafeNero.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5504,virtual,VMWare,false,false,false,,,420EC391-2293-DCAA-B47A-0E218DFD3406,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A03,,172.17.18.40,00:50:56:8e:a6:87,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.79,4.0,6.96,21.08,28.04,,Contern | Room 1 | Rack-A03 | lu3cd1ppesx05.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx05.3cint.com,Contern,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-17272,lu3cintegra18041NeroCafe.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5342,virtual,VMWare,false,false,false,,,420E73B9-4D26-51A0-65D1-A5D07CE6CE78,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A05,,172.17.18.41,00:50:56:8e:95:b2,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.1,4.0,5.38,22.66,28.04,,Contern | Room 1 | Rack-A05 | lu3cd1ppesx10.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx10.3cint.com,Contern,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-17509,lu3cintegra18042NeroCafe.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5564,virtual,VMWare,false,false,false,,,420EA26F-9E74-5761-8DB6-C0B705C570B2,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A05,,172.17.18.42,00:50:56:8e:ef:41,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.1,4.0,3.55,24.49,28.04,,Contern | Room 1 | Rack-A05 | lu3cd1ppesx08.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx08.3cint.com,Contern,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-17316,lu3cintegra18043NeroCafe.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5382,virtual,VMWare,false,false,false,,,420E4E72-CF60-9170-B5BA-4CD26FA5C9FE,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,DC1.1 - SER-04-0 Cage 1 - 3C Payment,Rack-A03,,172.17.18.43,00:50:56:8e:8e:9e,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.1,4.0,4.11,23.93,28.04,,Bettembourg | DC1.1 - SER-04-0 Cage 1 - 3C Payment | Rack-A03 | lu3cd2ppesx02.3cint.com,11/Jan/24 10:02 PM,,lu3cd2ppesx02.3cint.com,Bettembourg,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-17094,lu3cintegra18044NeroCafe.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5177,virtual,VMWare,false,false,false,,,420E4818-F56B-B003-F024-0D6F64692A1E,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,DC1.1 - SER-04-0 Cage 1 - 3C Payment,Rack-A03,,172.17.18.44,00:50:56:8e:9c:21,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.79,4.0,3.47,24.57,28.04,,Bettembourg | DC1.1 - SER-04-0 Cage 1 - 3C Payment | Rack-A03 | lu3cd2ppesx03.3cint.com,11/Jan/24 10:02 PM,,lu3cd2ppesx03.3cint.com,Bettembourg,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-17454,lu3cintegra18045TheVillage1.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5510,virtual,VMWare,false,false,false,,,420EC677-8D06-30E5-3788-A1F222A0701D,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A03,,172.17.18.45,00:50:56:8e:9a:16,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.79,4.0,4.89,23.15,28.04,,Contern | Room 1 | Rack-A03 | lu3cd1ppesx05.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx05.3cint.com,Contern,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-17513,lu3cintegra18046TheVillage2.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5568,virtual,VMWare,false,false,false,,,420E22B4-76B9-CA88-0D03-E5D4D5DAB80A,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A03,,172.17.18.46,00:50:56:8e:b3:b6,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.79,4.0,4.77,23.27,28.04,,Contern | Room 1 | Rack-A03 | lu3cd1ppesx06.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx06.3cint.com,Contern,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
CMDB-17186,lu3cintegra18047TheVillage3.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5264,virtual,VMWare,false,false,false,,,420E26F5-26C8-5102-1C2F-73FDD4C93CB8,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A05,,172.17.18.47,00:50:56:8e:b2:83,openSUSE,12.2 | 3.4.63-2.44-desktop,1,4,1,2.79,4.0,4.07,23.97,28.04,,Contern | Room 1 | Rack-A05 | lu3cd1ppesx03.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx03.3cint.com,Contern,DB [3C]||Motor [3C]||MMM [3C]||IXS [3C]||DCC [3C]||Digital Gateway [3C]||NAS [3C]||Token [3C]||Web2Pay [3C]||Portal [3C]||WRS [3C]||Integra [3C]||Auth [3C],,
